,Stock_2015,Stock_2014,Stock_2013,Stock_2012,Stock_2011,Stock_2010,Trend_2015,Trend_2014,Trend_2013,Trend_2012,Trend_2011,Trend_2010,ID
132,,,,176.405842593,384.91172093,512.601737089,,,,DOWN,DOWN,UP,534976
133,118.786898356,143.118333333,183.890983483,215.624909502,253.147131783,401.820799087,DOWN,DOWN,DOWN,UP,DOWN,DOWN,531642
134,852.806599402,1110.87602446,1243.45126877,1691.48155354,2367.27351938,2548.07444444,DOWN,UP,DOWN,DOWN,DOWN,UP,532540
135,289.389387145,459.24691896,573.617282282,757.507911011,752.719868217,958.841445967,DOWN,UP,DOWN,DOWN,UP,UP,532478
136,619.244110613,593.798356269,460.580045045,450.966840121,634.447054264,966.062328767,DOWN,UP,DOWN,UP,DOWN,DOWN,500480
137,18.9805455904,12.3118970814,9.87555,6.61253022453,8.38003317536,9.85301843318,UP,UP,UP,UP,DOWN,DOWN,526640
138,53.1034977578,43.6195795107,28.808521021,12.3114811463,25.9899023256,41.4152739726,DOWN,UP,UP,UP,DOWN,DOWN,532762
139,719.180822123,720.590275229,747.259984985,897.099954751,1161.84316279,1250.3662481,UP,DOWN,DOWN,UP,DOWN,DOWN,500520
140,796.803139013,928.538845566,1168.8487988,1335.68246606,1523.99426357,1742.70081431,DOWN,DOWN,DOWN,UP,DOWN,UP,500830
141,60.2484333333,63.5228058104,54.3537612613,47.5815233786,122.70903876,205.927328767,DOWN,DOWN,UP,DOWN,DOWN,UP,533248
142,670.494133034,820.342094801,787.561846847,742.210603318,1128.20310853,1496.35405632,DOWN,UP,DOWN,UP,DOWN,UP,532321
143,112.403004484,131.675848624,167.905,43.2239894419,18.0194418239,14.9433254438,DOWN,DOWN,UP,UP,UP,DOWN,590041
144,328.732488789,308.296192661,340.131328829,401.830105581,473.016069767,665.763203957,DOWN,UP,DOWN,DOWN,DOWN,UP,500087
145,,,,110.571944444,111.290093023,175.189817352,,,,UP,DOWN,DOWN,535755
146,,,32.7279166667,23.8737104072,18.2804186047,30.9949238965,,,DOWN,UP,DOWN,UP,534675
